Original Input: Amy Wagoner Johnson | Institution: UIUC | Status: No ID Found
Original Input: A. Jacobi | Institution: UIUC | Matched Name: C. Jacobi | Author ID: 1822073
Original Input: William P. King | Institution: UIUC | Matched Name: W. King | Author ID: 33343808
Original Input: Blake Everett Johnson | Institution: UIUC | Matched Name: B. Johnson | Author ID: 48364822
Original Input: Brian S. Mercer | Institution: UIUC | Status: No ID Found
Original Input: Bumsoo Han | Institution: UIUC | Matched Name: B. Han | Author ID: 33542176
Original Input: C. Ricardo Constante-Amores | Institution: UIUC | Matched Name: C. Constante-Amores | Author ID: 1491039666
Original Input: Callan Luetkemeyer | Institution: UIUC | Matched Name: Callan M. Luetkemeyer | Author ID: 14179696
Original Input: Craig Bradshaw | Institution: UIUC | Matched Name: C. Bradshaw | Author ID: 46228655
Original Input: Elif Ertekin | Institution: UIUC | Matched Name: E. Ertekin | Author ID: 4810854
Original Input: Elizabeth T. Hsiao-Wecksler | Institution: UIUC | Matched Name: E. Hsiao-Wecksler | Author ID: 1398994764
Original Input: Gaurav Bahl | Institution: UIUC | Matched Name: G. Bahl | Author ID: 1995045
Original Input: Harley Johnson | Institution: UIUC | Matched Name: H. Johnson | Author ID: 31316540
Original Input: Huseyin Sehitoglu | Institution: UIUC | Matched Name: H. Sehitoglu | Author ID: 4163564
Original Input: Iwona Jasiuk | Institution: UIUC | Matched Name: I. Jasiuk | Author ID: 46343924
Original Input: Janelle Wharry | Institution: UIUC | Matched Name: J. Wharry | Author ID: 92621606
Original Input: Jie Feng | Institution: UIUC | Matched Name: Jiexiong Feng | Author ID: 83051701
Original Input: Jorge E. Correa | Institution: UIUC | Matched Name: R. Silva | Author ID: 143735187
Original Input: Joseph Bentsman | Institution: UIUC | Matched Name: J. Bentsman | Author ID: 2185953
Original Input: Justin Yim | Institution: UIUC | Matched Name: Justin K. Yim | Author ID: 2152331
Original Input: Kathryn H Matlack | Institution: UIUC | Matched Name: K. Matlack | Author ID: 39895612
Original Input: Ke Tang | Institution: UIUC | Matched Name: K. Tang | Author ID: 144994537
Original Input: Kevin Wise | Institution: UIUC | Matched Name: K. Wise | Author ID: 3096366
Original Input: Kevin E. Wandke | Institution: UIUC | Status: No ID Found
Original Input: Leonardo Chamorro | Institution: UIUC | Matched Name: L. Chamorro | Author ID: 4137694
Original Input: Lili Cai | Institution: UIUC | Matched Name: Cai Lili | Author ID: 71502032
Original Input: M Taher A. Saif | Institution: UIUC | Matched Name: M. Saif | Author ID: 98772879
Original Input: M. Quinn Brewster | Institution: UIUC | Matched Name: M. Brewster | Author ID: 47258804
Original Input: Mariana E. Kersh | Institution: UIUC | Matched Name: M. Kersh | Author ID: 4648221
Original Input: Martin Ostoja-Starzewski | Institution: UIUC | Matched Name: M. Ostoja-Starzewski | Author ID: 1452119473
Original Input: Mattia Gazzola | Institution: UIUC | Matched Name: M. Gazzola | Author ID: 2597297
Original Input: Mickey Clemon | Institution: UIUC | Status: No ID Found
Original Input: naira hovakimyan | Institution: UIUC | Matched Name: N. Hovakimyan | Author ID: 2130392
Original Input: Nenad Miljkovic | Institution: UIUC | Matched Name: N. Miljkovic | Author ID: 5089466
Original Input: Nick G. Glumac | Institution: UIUC | Matched Name: N. Glumac | Author ID: 4433619
Original Input: Nikhil Chandra Admal | Institution: UIUC | Matched Name: N. Admal | Author ID: 10090573
Original Input: Paul Fischer | Institution: UIUC | Matched Name: P. Fischer | Author ID: 48319080
Original Input: Petros Sofronis | Institution: UIUC | Matched Name: P. Sofronis | Author ID: 15494645
Original Input: Placid Ferreira | Institution: UIUC | Matched Name: P. Ferreira | Author ID: 145577383
Original Input: Prashant Mehta | Institution: UIUC | Matched Name: P. Mehta | Author ID: 1773940
Original Input: Randy H. Ewoldt | Institution: UIUC | Matched Name: R. Ewoldt | Author ID: 143620353
Original Input: Sameh Tawfick | Institution: UIUC | Matched Name: S. Tawfick | Author ID: 4142554
Original Input: Sanjiv Sinha | Institution: UIUC | Matched Name: S. Sinha | Author ID: 10220902
Original Input: Sascha Hilgenfeldt | Institution: UIUC | Matched Name: S. Hilgenfeldt | Author ID: 3018257
Original Input: Seid Koric | Institution: UIUC | Matched Name: S. Koric | Author ID: 2163125
Original Input: Shelby B. Hutchens | Institution: UIUC | Matched Name: S. B. Hutchens | Author ID: 9831923
Original Input: Sophie Wang | Institution: UIUC | Matched Name: Sophie S. W. Wang | Author ID: 50695088
Original Input: Srinivasa Salapaka | Institution: UIUC | Matched Name: S. Salapaka | Author ID: 1770735
Original Input: Varda F. Hagh | Institution: UIUC | Status: No ID Found
Original Input: Bahador Bahmani | Institution: NU | Matched Name: B. Bahmani | Author ID: 101566577
Original Input: Brenna Argall | Institution: NU | Matched Name: B. Argall | Author ID: 1836885
Original Input: Cheng Sun | Institution: NU | Matched Name: Cheng Sun | Author ID: 102245864
Original Input: Elizabeth M Gerber | Institution: NU | Matched Name: E. Gerber | Author ID: 145003123
Original Input: Gianluca Cusatis | Institution: NU | Matched Name: G. Cusatis | Author ID: 8858860
Original Input: Greg Wagner | Institution: NU | Matched Name: G. Wagner | Author ID: 91998567
