Original Input: A. Vakakis | Institution: UIUC | Matched Name: A. Vakakis | Author ID: 2041393
Original Input: Arne J. Pearlstein | Institution: UIUC | Matched Name: Arne J. Pearlstein | Author ID: 10441352
Original Input: Jiajun He | Institution: UIUC | Matched Name: Jiajun He | Author ID: 47752169
Original Input: Kellie M. Halloran | Institution: UIUC | Matched Name: Kellie M. Halloran | Author ID: 2160927405
Original Input: Kyle C. Smith | Institution: UIUC | Matched Name: Kyle C. Smith | Author ID: 145423525
Original Input: Matthew West | Institution: UIUC | Matched Name: Matthew West | Author ID: 144739836
Original Input: Nazanin Farjam | Institution: UIUC | Matched Name: Nazanin Farjam | Author ID: 103644296
Original Input: Siyi Xu | Institution: UIUC | Matched Name: Siyi Xu | Author ID: 145426403
Original Input: Thomas Golecki | Institution: UIUC | Matched Name: Thomas Golecki | Author ID: 52221051
Original Input: Tonghun Lee | Institution: UIUC | Matched Name: Tonghun Lee | Author ID: 32189698
Original Input: Jian Cao | Institution: NU | Matched Name: Jian Cao | Author ID: 123072866
Original Input: Michael Rubenstein | Institution: NU | Matched Name: Michael Rubenstein | Author ID: 145262982
Original Input: Naichen Shi | Institution: NU | Matched Name: Naichen Shi | Author ID: 2111723583
Original Input: Petia M. Vlahovska | Institution: NU | Matched Name: Petia M. Vlahovska | Author ID: 2707828
Original Input: Richard M. Lueptow | Institution: NU | Matched Name: Richard M. Lueptow | Author ID: 2032380
Original Input: Sam Kriegman | Institution: NU | Matched Name: Sam Kriegman | Author ID: 3450084
Original Input: Wei Chen | Institution: NU | Matched Name: Wei Chen | Author ID: 145921144
Original Input: Wing Kam Liu | Institution: NU | Matched Name: Wing Kam Liu | Author ID: 152450400
Original Input: Yonggang Huang | Institution: NU | Matched Name: Yonggang Huang | Author ID: 2253039201
