Institution,Professor Name (Original),Author ID,Paper Type,Paper Title,Year,Citation Count,Semantic Scholar URL,Final Link
NU,Bahador Bahmani,101566577,Most Cited,A Review on Data-Driven Constitutive Laws for Solids,2024,68,https://www.semanticscholar.org/paper/2ab7f97e2a05ef15363a45a6267c342a5e44ef2c,https://doi.org/10.1007/s11831-024-10196-2
NU,Bahador Bahmani,101566577,Most Cited,Synthesizing controlled microstructures of porous media using generative adversarial networks and reinforcement learning,2022,66,https://www.semanticscholar.org/paper/64ba788e015b5fb9479a78fe925731e0a289f72e,https://www.nature.com/articles/s41598-022-12845-7.pdf
NU,Bahador Bahmani,101566577,Most Cited,Voronoi tessellation based statistical volume element characterization for use in fracture modeling,2018,37,https://www.semanticscholar.org/paper/cb7c27fd1e905aef65fa8ed2115a8f992f479783,http://manuscript.elsevier.com/S0045782518301051/pdf/S0045782518301051.pdf
NU,Bahador Bahmani,101566577,Most Cited,Journal of the Mechanics and Physics of Solids,2022,34,https://www.semanticscholar.org/paper/fd071dc08d551e47f0fff2d2ad974c1cbde327b8,https://www.semanticscholar.org/paper/fd071dc08d551e47f0fff2d2ad974c1cbde327b8
NU,Bahador Bahmani,101566577,Most Cited,An accelerated hybrid data-driven/model-based approach for poroelasticity problems with multi-fidelity multi-physics data,2020,34,https://www.semanticscholar.org/paper/89ff57cac7bbc974618f0d075c4814c84f69f43b,https://www.sciencedirect.com/science/article/am/pii/S004578252100205X
NU,Bahador Bahmani,101566577,Most Cited,Data-driven discovery of interpretable causal relations for deep learning material laws with uncertainty propagation,2021,29,https://www.semanticscholar.org/paper/be664fd720813f82cee7253ca3a5816c1f8830d5,https://doi.org/10.1007/s10035-021-01137-y
NU,Bahador Bahmani,101566577,Most Cited,Application of an enriched FEM technique in thermo-mechanical contact problems,2018,28,https://www.semanticscholar.org/paper/763d3ac1962943f9069d3984f0791445312ba8b6,https://doi.org/10.1007/S00466-018-1555-Z
NU,Bahador Bahmani,101566577,Most Cited,Discovering interpretable elastoplasticity models via the neural polynomial method enabled symbolic regressions,2023,23,https://www.semanticscholar.org/paper/61f1e3550ccb6795b7e9ef7e1b1d67a5c8ce3089,https://arxiv.org/pdf/2307.13149
NU,Bahador Bahmani,101566577,Most Cited,Physics‐constrained symbolic model discovery for polyconvex incompressible hyperelastic materials,2023,22,https://www.semanticscholar.org/paper/2374782ae42dd7fc15dbf8234cc5e0702baf6826,https://arxiv.org/pdf/2310.04286
NU,Bahador Bahmani,101566577,Most Cited,Automated homogenization-based fracture analysis: Effects of SVE size and boundary condition,2019,21,https://www.semanticscholar.org/paper/4461c5845bb46338742bc2dfeb3b867ba5b483d3,https://www.sciencedirect.com/science/article/am/pii/S0045782518305644
NU,Bahador Bahmani,101566577,Most Recent,A Physics-informed Multi-resolution Neural Operator,2025,1,https://www.semanticscholar.org/paper/a32a49c9f380d6f14ea43365eede6bba218d6235,https://doi.org/10.48550/arXiv.2510.23810
NU,Bahador Bahmani,101566577,Most Recent,Neural Chaos: A Spectral Stochastic Neural Operator,2025,3,https://www.semanticscholar.org/paper/b8ce3db9259b9da01275b2a7cabf058863692334,https://doi.org/10.1016/j.jcp.2025.114233
NU,Bahador Bahmani,101566577,Most Recent,A Review on Data-Driven Constitutive Laws for Solids,2024,68,https://www.semanticscholar.org/paper/2ab7f97e2a05ef15363a45a6267c342a5e44ef2c,https://doi.org/10.1007/s11831-024-10196-2
NU,Bahador Bahmani,101566577,Most Recent,A Resolution Independent Neural Operator,2024,20,https://www.semanticscholar.org/paper/d97c4f1c3c29748d950e7dcab31c0f0f827f5ada,https://doi.org/10.48550/arXiv.2407.13010
NU,Bahador Bahmani,101566577,Most Recent,Geometry-Informed Data-Driven Mechanics,2024,0,https://www.semanticscholar.org/paper/db29b742fcc7ad51101a48e5c773871986922f2e,https://doi.org/10.7916/x6qt-4981
NU,Bahador Bahmani,101566577,Most Recent,Physics‐constrained symbolic model discovery for polyconvex incompressible hyperelastic materials,2023,22,https://www.semanticscholar.org/paper/2374782ae42dd7fc15dbf8234cc5e0702baf6826,https://arxiv.org/pdf/2310.04286
NU,Bahador Bahmani,101566577,Most Recent,Distance-preserving manifold denoising for data-driven mechanics,2023,10,https://www.semanticscholar.org/paper/2d3b2979aeef050412a91cd2ee0567be4ad5388d,https://www.sciencedirect.com/science/article/am/pii/S0045782522008131
