student_id,student_major,student_school,professor_name,prof_institution,fitness_score,rank
NU_ENG_000001,Industrial Engineering,NU,Jiajun He,UIUC,0.49704670906066895,1
NU_ENG_000001,Industrial Engineering,NU,Greg Wagner,NU,0.45468252897262573,2
NU_ENG_000001,Industrial Engineering,NU,Elizabeth M Gerber,NU,0.44066962599754333,3
NU_ENG_000001,Industrial Engineering,NU,Michael Peshkin,NU,0.4274671971797943,4
NU_ENG_000001,Industrial Engineering,NU,Jennifer B. Dunn,NU,0.42709821462631226,5
NU_ENG_000002,Computer Science,NU,Elizabeth M Gerber,NU,0.5019248127937317,1
NU_ENG_000002,Computer Science,NU,Jiajun He,UIUC,0.44267040491104126,2
NU_ENG_000002,Computer Science,NU,Blake Everett Johnson,UIUC,0.438417912,3
NU_ENG_000002,Computer Science,NU,Todd D Murphey,NU,0.3908514678478241,4
NU_ENG_000002,Computer Science,NU,Michael Peshkin,NU,0.3840903639793396,5
NU_ENG_000003,Industrial Engineering,NU,Jiajun He,UIUC,0.4969311058521271,1
NU_ENG_000003,Industrial Engineering,NU,Greg Wagner,NU,0.4682919979095459,2
NU_ENG_000003,Industrial Engineering,NU,Thomas Golecki,UIUC,0.45674142241477966,3
NU_ENG_000003,Industrial Engineering,NU,Michael Peshkin,NU,0.44994476437568665,4
NU_ENG_000003,Industrial Engineering,NU,Jennifer B. Dunn,NU,0.44519662857055664,5
NU_ENG_000004,Electrical Engineering,NU,Jennifer B. Dunn,NU,0.4017806053161621,1
NU_ENG_000004,Electrical Engineering,NU,Malcolm A MacIver,NU,0.3939163386821747,2
NU_ENG_000004,Electrical Engineering,NU,Elizabeth M Gerber,NU,0.3795006275177002,3
NU_ENG_000004,Electrical Engineering,NU,Todd D Murphey,NU,0.3781335949897766,4
NU_ENG_000004,Electrical Engineering,NU,Blake Everett Johnson,UIUC,0.37329787015914917,5
NU_ENG_000005,Biomedical Engineering,NU,Wei Chen,NU,0.5430864095687866,1
NU_ENG_000005,Biomedical Engineering,NU,Jorge E. Correa,UIUC,0.48287054896354675,2
NU_ENG_000005,Biomedical Engineering,NU,Ryan L. Truby,NU,0.46136072278022766,3
NU_ENG_000005,Biomedical Engineering,NU,Sophie Wang,UIUC,0.4461628794670105,4
NU_ENG_000005,Biomedical Engineering,NU,Bumsoo Han,UIUC,0.4281749427318573,5
NU_ENG_000006,Materials Science and Engineering,NU,Greg Wagner,NU,0.6296295523643494,1
NU_ENG_000006,Materials Science and Engineering,NU,Jiajun He,UIUC,0.4898977279663086,2
NU_ENG_000006,Materials Science and Engineering,NU,Nick G. Glumac,UIUC,0.48557549715042114,3
NU_ENG_000006,Materials Science and Engineering,NU,Huseyin Sehitoglu,UIUC,0.48398905992507935,4
NU_ENG_000006,Materials Science and Engineering,NU,Seid Koric,UIUC,0.4701361060142517,5
NU_ENG_000007,Industrial Engineering,NU,Elizabeth M Gerber,NU,0.44759631156921387,1
NU_ENG_000007,Industrial Engineering,NU,Jiajun He,UIUC,0.4248514473438263,2
NU_ENG_000007,Industrial Engineering,NU,Jennifer B. Dunn,NU,0.4099849760532379,3
NU_ENG_000007,Industrial Engineering,NU,Blake Everett Johnson,UIUC,0.4020654261112213,4
NU_ENG_000007,Industrial Engineering,NU,Michael Peshkin,NU,0.39430469274520874,5
NU_ENG_000008,Industrial Engineering,NU,Blake Everett Johnson,UIUC,0.42256417870521545,1
NU_ENG_000008,Industrial Engineering,NU,Lili Cai,UIUC,0.40629929304122925,2
NU_ENG_000008,Industrial Engineering,NU,Jennifer B. Dunn,NU,0.3932081460952759,3
NU_ENG_000008,Industrial Engineering,NU,Jiajun He,UIUC,0.38608092069625854,4
NU_ENG_000008,Industrial Engineering,NU,Michael Rubenstein,NU,0.38552579283714294,5
NU_ENG_000009,Biomedical Engineering,NU,Wei Chen,NU,0.5555559992790222,1
NU_ENG_000009,Biomedical Engineering,NU,Jorge E. Correa,UIUC,0.5144690871238708,2
NU_ENG_000009,Biomedical Engineering,NU,Ryan L. Truby,NU,0.49355074763298035,3
NU_ENG_000009,Biomedical Engineering,NU,Malcolm A MacIver,NU,0.47909584641456604,4
NU_ENG_000009,Biomedical Engineering,NU,Todd D Murphey,NU,0.4787530303001404,5
NU_ENG_000010,Computer Science,NU,Elizabeth M Gerber,NU,0.5355936884880066,1
NU_ENG_000010,Computer Science,NU,Todd D Murphey,NU,0.46754875779151917,2
NU_ENG_000010,Computer Science,NU,Wei Chen,NU,0.46155574917793274,3
NU_ENG_000010,Computer Science,NU,Jorge E. Correa,UIUC,0.4528394341468811,4
NU_ENG_000010,Computer Science,NU,Jiajun He,UIUC,0.41426020860671997,5
NU_ENG_000011,Computer Engineering,NU,Elizabeth M Gerber,NU,0.46500319242477417,1
NU_ENG_000011,Computer Engineering,NU,Michael Peshkin,NU,0.41942307353019714,2
NU_ENG_000011,Computer Engineering,NU,Jorge E. Correa,UIUC,0.4164600670337677,3
