student_id,school,major,year,age,gender,seed_keywords
NU_ENG_000001,NU,Industrial Engineering,4,22,F,"['simulation', 'supply chain', 'optimization', 'operations']"
NU_ENG_000002,NU,Computer Science,2,19,M,"['AI', 'NLP', 'systems', 'data']"
NU_ENG_000003,NU,Industrial Engineering,4,22,M,"['analytics', 'operations', 'optimization', 'quality']"
NU_ENG_000004,NU,Electrical Engineering,3,20,F,"['power', 'control', 'communications', 'signals']"
NU_ENG_000005,NU,Biomedical Engineering,1,18,M,"['data analysis', 'programming', 'team projects', 'modeling']"
NU_ENG_000006,NU,Materials Science and Engineering,4,21,F,"['experiments', 'programming', 'design', 'team projects']"
NU_ENG_000007,NU,Industrial Engineering,2,19,M,"['optimization', 'operations', 'quality', 'simulation']"
NU_ENG_000008,NU,Industrial Engineering,1,18,M,"['optimization', 'simulation', 'supply chain', 'quality']"
NU_ENG_000009,NU,Biomedical Engineering,1,18,F,"['design', 'modeling', 'team projects', 'experiments']"
NU_ENG_000010,NU,Computer Science,3,20,M,"['data', 'algorithms', 'NLP', 'systems']"
NU_ENG_000011,NU,Computer Engineering,1,18,M,"['computer vision', 'architecture', 'IoT', 'embedded']"
NU_ENG_000012,NU,Materials Science and Engineering,2,19,F,"['team projects', 'modeling', 'experiments', 'data analysis']"
NU_ENG_000013,NU,Computer Science,1,19,M,"['NLP', 'machine learning', 'data', 'systems']"
NU_ENG_000014,NU,Industrial Engineering,2,19,M,"['quality', 'optimization', 'analytics', 'supply chain']"
NU_ENG_000015,NU,Computer Science,2,19,M,"['algorithms', 'NLP', 'machine learning', 'data']"
NU_ENG_000016,NU,Chemical Engineering,3,20,F,"['design', 'programming', 'team projects', 'experiments']"
NU_ENG_000017,NU,Computer Science,2,19,M,"['systems', 'AI', 'data', 'NLP']"
NU_ENG_000018,NU,Biomedical Engineering,1,18,F,"['modeling', 'experiments', 'data analysis', 'programming']"
NU_ENG_000019,NU,Industrial Engineering,3,20,M,"['simulation', 'analytics', 'supply chain', 'operations']"
NU_ENG_000020,NU,Computer Science,2,20,M,"['systems', 'NLP', 'data', 'AI']"
NU_ENG_000021,NU,Industrial Engineering,3,20,M,"['supply chain', 'simulation', 'analytics', 'operations']"
NU_ENG_000022,NU,Computer Engineering,1,18,F,"['embedded', 'computer vision', 'IoT', 'systems']"
NU_ENG_000023,NU,Materials Science and Engineering,1,18,F,"['data analysis', 'team projects', 'programming', 'modeling']"
NU_ENG_000024,NU,Manufacturing and Design Engineering,1,19,M,"['programming', 'data analysis', 'modeling', 'team projects']"
NU_ENG_000025,NU,Industrial Engineering,2,20,F,"['operations', 'quality', 'supply chain', 'analytics']"
NU_ENG_000026,NU,Biomedical Engineering,2,20,M,"['team projects', 'experiments', 'data analysis', 'design']"
NU_ENG_000027,NU,Computer Science,4,21,M,"['data', 'AI', 'machine learning', 'algorithms']"
NU_ENG_000028,NU,Applied Math,2,19,M,"['experiments', 'data analysis', 'team projects', 'modeling']"
NU_ENG_000029,NU,Biomedical Engineering,3,20,F,"['team projects', 'programming', 'experiments', 'data analysis']"
NU_ENG_000030,NU,Electrical Engineering,3,21,F,"['circuits', 'communications', 'signals', 'embedded']"
NU_ENG_000031,NU,Industrial Engineering,1,18,NB,"['optimization', 'analytics', 'quality', 'operations']"
NU_ENG_000032,NU,Materials Science and Engineering,3,20,M,"['design', 'data analysis', 'team projects', 'modeling']"
