major,count,prob
Agricultural & Biological Engr,43,0.004623655913978494
Engineering Physics,9,0.000967741935483871
Physics,538,0.057849462365591395
Computer Science & Physics,73,0.007849462365591397
Civil Engineering,747,0.08032258064516129
Environmental Engineering,161,0.017311827956989247
Bioengineering,441,0.047419354838709675
Neural Engineering,68,0.007311827956989247
Computer Science & Bioengineering,60,0.0064516129032258064
Industrial Engineering,349,0.03752688172043011
Systems Engineering & Design,394,0.04236559139784946
Computer Science,1070,0.11505376344086021
Engineering Undeclared,460,0.04946236559139785
Aerospace Engineering,845,0.09086021505376345
Engineering Mechanics,148,0.015913978494623657
Mechanical Engineering,1128,0.12129032258064516
Materials Science & Engr,375,0.04032258064516129
Computer Engineering,1232,0.1324731182795699
Electrical Engineering,1043,0.1121505376344086
"Nuclear, Plasma, Radiological Engr",116,0.012473118279569893
