Professor Name (Original),Author ID,Paper Type,Paper Title,Link
Amy Wagoner Johnson,2207707224,10 Most Cited,Coral larval settlement induction using tissue-associated and exuded coralline algae metabolites and the identification of putative chemical cues,https://www.semanticscholar.org/paper/55deb6397157c7c3f581009fd2de5970b55452b0
Amy Wagoner Johnson,2207707224,10 Most Cited,Direct observation and quantitative characterization of chemotactic behaviors in Caribbean coral larvae exposed to organic and inorganic settlement cues,https://www.semanticscholar.org/paper/21f593de1103d0c60eaad5c8fa27e5298f19e742
Amy Wagoner Johnson,2207707224,10 Most Cited,Poster: Rough Night,https://www.semanticscholar.org/paper/5df4d4c0b1893f804fb6aaa91ffc8909c3f9ce97
Amy Wagoner Johnson,2207707224,10 Most Recent,Direct observation and quantitative characterization of chemotactic behaviors in Caribbean coral larvae exposed to organic and inorganic settlement cues,https://www.semanticscholar.org/paper/21f593de1103d0c60eaad5c8fa27e5298f19e742
Amy Wagoner Johnson,2207707224,10 Most Recent,Coral larval settlement induction using tissue-associated and exuded coralline algae metabolites and the identification of putative chemical cues,https://www.semanticscholar.org/paper/55deb6397157c7c3f581009fd2de5970b55452b0
Amy Wagoner Johnson,2207707224,10 Most Recent,Poster: Rough Night,https://www.semanticscholar.org/paper/5df4d4c0b1893f804fb6aaa91ffc8909c3f9ce97
Arne J. Pearlstein,10441352,10 Most Cited,Film Formation and Current Oscillations in the Electrodissolution of Cu in Acidic Chloride Media I . Experimental Studies,https://www.semanticscholar.org/paper/94f7079883ce9262b16ec89a894144e2c658928a
Arne J. Pearlstein,10441352,10 Most Cited,Effects of Optical Attenuation and Consumption of a Photobleaching Initiator on Local Initiation Rates in Photopolymerizations,https://www.semanticscholar.org/paper/99a637f9af2bec206670ead1d32b19dafb27307a
Arne J. Pearlstein,10441352,10 Most Cited,The onset of convective instability in a triply diffusive fluid layer,https://www.semanticscholar.org/paper/31b1a253cf1ae8094e60089a564d3820c0c57c5e
Arne J. Pearlstein,10441352,10 Most Cited,Machine learning-enabled non-destructive paper chromogenic array detection of multiplexed viable pathogens on food,https://www.semanticscholar.org/paper/03c3bb605273ef2f2d2e45aee01d5b8a1f5fadf7
Arne J. Pearlstein,10441352,10 Most Cited,Development of the wake behind a circular cylinder impulsively started into rotatory and rectilinear motion,https://www.semanticscholar.org/paper/7a0fd1d1f0c9aed219569de5027342ca544f1ce1
Arne J. Pearlstein,10441352,10 Most Cited,Effect of rigid boundaries on the onset of convective instability in a triply diffusive fluid layer,https://www.semanticscholar.org/paper/ef1a2b7ef342f52eeb394381eb14a39c1d8f9933
Arne J. Pearlstein,10441352,10 Most Cited,Stability of free-convection flows of variable-viscosity fluids in vertical and inclined slots,https://www.semanticscholar.org/paper/9656d7655b4ac6376bb7e0d8d4076b65922d9c79
Arne J. Pearlstein,10441352,10 Most Cited,Stability of the flow past a sphere,https://www.semanticscholar.org/paper/1dc74a1708c967e105c6ca0600e68896205b9005
Arne J. Pearlstein,10441352,10 Most Cited,Effect of rotation on the stability of a doubly diffusive fluid layer,https://www.semanticscholar.org/paper/a347efb398aabf677c2c48553e989966044b7511
Arne J. Pearlstein,10441352,10 Most Cited,Development of an extended proper orthogonal decomposition and its application to a time periodically forced plane mixing layer,https://www.semanticscholar.org/paper/7afdaa83c6034c1b4b93a38b231cfa4dff0f8df8
Arne J. Pearlstein,10441352,10 Most Recent,Effect of operating parameters on single-stage ultrasonic separation of ethanol from its aqueous solutions,https://www.semanticscholar.org/paper/93dc0989c556e39675c9c8aec09b9b6da64ecdd1
Arne J. Pearlstein,10441352,10 Most Recent,"Free Response of a Rotational Nonlinear Energy Sink Coupled to a Linear Oscillator: Fractality, Riddling, and Initial-Condition Sensitivity at Large Initial Displacements",https://www.semanticscholar.org/paper/0885044c5cff3e7e11254d946525f3e4527da2ad
Arne J. Pearlstein,10441352,10 Most Recent,"Temporally quasiperiodic data, propagating in the laboratory frame, can be rendered periodic by Galilean transformation.",https://www.semanticscholar.org/paper/a0fc3041c5452dfddd105f607b9dd0d23df505ed
Arne J. Pearlstein,10441352,10 Most Recent,Machine learning-enabled non-destructive paper chromogenic array detection of multiplexed viable pathogens on food,https://www.semanticscholar.org/paper/03c3bb605273ef2f2d2e45aee01d5b8a1f5fadf7
Arne J. Pearlstein,10441352,10 Most Recent,"Free Response of a Rotational Nonlinear Energy Sink Coupled to a Linear Oscillator: Fractality, Riddling, and Initial-Condition Sensitivity at Intermediate Initial Displacements",https://www.semanticscholar.org/paper/1a5cef3c67b4a9d5febb86cd073acaced2439521
Arne J. Pearlstein,10441352,10 Most Recent,Nondestructive multiplex detection of foodborne pathogens with background microflora and symbiosis using a paper chromogenic array and advanced neural network.,https://www.semanticscholar.org/paper/790c8a51bde5637ef0199868478d226f8668cefb
Arne J. Pearlstein,10441352,10 Most Recent,Heat Transfer Enhancement in Fin Channels Using Aeroelastically Fluttering Reeds,https://www.semanticscholar.org/paper/c83bd414a2967c962b6b900fb4646e0ecdea7ab1
Arne J. Pearlstein,10441352,10 Most Recent,Assessment of a novel in-flight washing device: Microbial reduction and food quality of chopped iceberg lettuce during storage,https://www.semanticscholar.org/paper/decaeea49ffaa69fae486545faa933bfc68913c6
Arne J. Pearlstein,10441352,10 Most Recent,Listeria monocytogenes biofilm formation as affected by stainless steel surface topography and coating composition,https://www.semanticscholar.org/paper/e93d2183685fd86138071d654755fbed95f52e99
Arne J. Pearlstein,10441352,10 Most Recent,On-off switching of vortex shedding and vortex-induced vibration in crossflow past a circular cylinder by locking or releasing a rotational nonlinear energy sink,https://www.semanticscholar.org/paper/246dfb7a5fd2d200abea33cb49d72869f64f78ed
William P. King,2262358637,10 Most Cited,Cooling high power electronics using dynamic phase change material,https://www.semanticscholar.org/paper/6dbea9359228b4b7f3fd2d929ad557b11de5fd60
William P. King,2262358637,10 Most Cited,Fundamental limits of dynamic phase change materials,https://www.semanticscholar.org/paper/ad62ae706ea08665c699ec06d18b0948047ffab7
William P. King,2262358637,10 Most Cited,Dynamic phase change materials with extended surfaces,https://www.semanticscholar.org/paper/cb016c4ba61cb25205c079c27d44ed9ad906ce3a
William P. King,2262358637,10 Most Cited,Edge-Passivated Monolayer WSe2 Nanoribbon Transistors,https://www.semanticscholar.org/paper/86bf92042c70064510d9aa42f9623942eb573e0d
William P. King,2262358637,10 Most Cited,Point-of-Care Multiplex Detection of Respiratory Viruses.,https://www.semanticscholar.org/paper/b4ff748aaea2fb85dea6117ec26f92ac8f2fd861
William P. King,2262358637,10 Most Cited,Fabrication and Thermal Properties of a Gallium and Porous Foam Composite Phase Change Material,https://www.semanticscholar.org/paper/9fd8d3957b8986c7804570fe26700d27b16cc3dc
William P. King,2262358637,10 Most Cited,A __ourglass_ system for transient thermal management based on dynamic close-contact melting of a phase-change material,https://www.semanticscholar.org/paper/67b8607d63c9a4ae41bc6a142c594739879a7a34
William P. King,2262358637,10 Most Cited,Federated learning enables privacy-preserving and data-efficient dimension prediction and part qualification across additive manufacturing factories,https://www.semanticscholar.org/paper/817f9b1fdcab2ebd7b4cb5cc8813fa40b83c92a5
William P. King,2262358637,10 Most Cited,Geometry repeatability and prediction for personalized medical devices made using multi-jet fusion additive manufacturing,https://www.semanticscholar.org/paper/b873992556ef904003b066a84ff0a6c66fdd2e4f
William P. King,2262358637,10 Most Cited,Fin Design Topology Optimization for Direct Liquid Cooling of Multichip Power Modules,https://www.semanticscholar.org/paper/83386671a19de4ee170854f6327324b9322d4f3f
William P. King,2262358637,10 Most Recent,Experimental and numerical exploration of dynamic phase change materials on rectangular strip fins,https://www.semanticscholar.org/paper/6b679101c7120936d2dd69179ec582dfcda8ba72
William P. King,2262358637,10 Most Recent,Predicting mechanical properties of elastomer honeycombs using fast image-based measurements,https://www.semanticscholar.org/paper/295fbc472ad04deb5e0ad0c0aa9a7e31e46afd6e
William P. King,2262358637,10 Most Recent,Additively manufactured compact water-cooled refrigerant condenser,https://www.semanticscholar.org/paper/658d83e360cd4c4102b0e9de3566e85eab7ee360
William P. King,2262358637,10 Most Recent,A __ourglass_ system for transient thermal management based on dynamic close-contact melting of a phase-change material,https://www.semanticscholar.org/paper/67b8607d63c9a4ae41bc6a142c594739879a7a34
William P. King,2262358637,10 Most Recent,Cooling high power electronics using dynamic phase change material,https://www.semanticscholar.org/paper/6dbea9359228b4b7f3fd2d929ad557b11de5fd60
William P. King,2262358637,10 Most Recent,Optimal phase change material integration strategies for maximizing electronic device reliability,https://www.semanticscholar.org/paper/82fa2128f5b650210a1c2d65d8511ad26dc37fa2
William P. King,2262358637,10 Most Recent,High power transient thermal management with dynamic phase change material and liquid cooling,https://www.semanticscholar.org/paper/9f8040e7e7d39dd8dbbec0133028096a12ea315f
