Institution,Professor Name (Original),Author ID,Paper Type,Paper Title,Link
UIUC,A. Vakakis,2041393,10 Most Cited,"Past, present and future of nonlinear system identification in structural dynamics",https://www.semanticscholar.org/paper/9389c475580263bfb348a0f1324d6e21a934fc8d
UIUC,A. Vakakis,2041393,10 Most Cited,The Method of Proper Orthogonal Decomposition for Dynamical Characterization and Order Reduction of Mechanical Systems: An Overview,https://www.semanticscholar.org/paper/cf506429ed1f2c1557e6297b5b1fc78561ee672e
UIUC,A. Vakakis,2041393,10 Most Cited,"Nonlinear normal modes, Part I: A useful framework for the structural dynamicist",https://www.semanticscholar.org/paper/b1e2a529ae8858bd342b4f287a0e70667f66f582
UIUC,A. Vakakis,2041393,10 Most Cited,Nonlinear Targeted Energy Transfer in Mechanical and Structural Systems,https://www.semanticscholar.org/paper/bd2fb1e7f6f145bd0fa6f5769fd829142a74b49c
UIUC,A. Vakakis,2041393,10 Most Cited,Experimental study of non-linear energy pumping occurring at a single fast frequency,https://www.semanticscholar.org/paper/e64ca860b12f9107f450e61596b889042d7bf30f
UIUC,A. Vakakis,2041393,10 Most Cited,"Complicated dynamics of a linear oscillator with a light, essentially nonlinear attachment",https://www.semanticscholar.org/paper/a878f4d866bd02efc50f047af196a7f2ec24c210
UIUC,A. Vakakis,2041393,10 Most Cited,Targeted energy transfers in vibro-impact oscillators for seismic mitigation,https://www.semanticscholar.org/paper/7e4a41bb7d496a16276265b46dea42ed55d7578c
UIUC,A. Vakakis,2041393,10 Most Cited,"Dynamics of linear discrete systems connected to local, essentially non-linear attachments",https://www.semanticscholar.org/paper/bb2a325b62d72de3641181436add21f8e440a252
UIUC,A. Vakakis,2041393,10 Most Cited,Irreversible Passive Energy Transfer in Coupled Oscillators with Essential Nonlinearity,https://www.semanticscholar.org/paper/f2638d79470a11beb6676c6dafcbd40fe3d1d4d1
UIUC,A. Vakakis,2041393,10 Most Cited,Steady State Passive Nonlinear Energy Pumping in Coupled Oscillators: Theoretical and Experimental Results,https://www.semanticscholar.org/paper/ba44f02ab8f5f0db2e81abcf8f5c8bdb9b9391e4
UIUC,A. Vakakis,2041393,10 Most Recent,Energy transfer and localization in a forced cyclic chain of oscillators with vibro-impact nonlinear energy sinks,https://www.semanticscholar.org/paper/223416b3cae504d871637c8815627da564a453cd
UIUC,A. Vakakis,2041393,10 Most Recent,"Data-driven, Wavelet-based Identification and Reduced-order Modeling of Linear Systems with Closely Spaced Modes",https://www.semanticscholar.org/paper/4864ba339132f3a5b97aedebeab1a4c5b2110967
UIUC,A. Vakakis,2041393,10 Most Recent,Experimental study of frictional interfaces using solitary waves in 1-D monoatomic granular crystals,https://www.semanticscholar.org/paper/63dd5958d8a9ac25c2b0b865530130ce5b6b5459
UIUC,A. Vakakis,2041393,10 Most Recent,"Interband targeted energy transfer, wave arrest, and redirection in phononic lattices with strongly nonlinear local resonators.",https://www.semanticscholar.org/paper/884acd253e1939295a5b7b84a79404094ebab01a
UIUC,A. Vakakis,2041393,10 Most Recent,Recent advances in nonlinear vibration metamaterials,https://www.semanticscholar.org/paper/a131a2fcf0b07cdec6c86298181b63bae4a62fde
UIUC,A. Vakakis,2041393,10 Most Recent,Low-Frequency Sub-Bragg Phenomena in Multilayered Vibroacoustic Metamaterials,https://www.semanticscholar.org/paper/a17b566a12bf72888f3e9cf5597628bcf606ea17
UIUC,A. Vakakis,2041393,10 Most Recent,Stabilizing dynamic subsea power cables using Bi-stable nonlinear energy sinks,https://www.semanticscholar.org/paper/a928dc8c895d35891b1cbd7f19a2031b4a795715
UIUC,A. Vakakis,2041393,10 Most Recent,Understanding Modal Interactions in Non-classically Damped Linear Oscillators with Closely Spaced Modes,https://www.semanticscholar.org/paper/fca62e52f2c3802e1d583713cd6213a8f4f46454
UIUC,A. Vakakis,2041393,10 Most Recent,Data-Driven Method for Nonlinear Modal Interaction Identification in Fighter Aircraft,https://www.semanticscholar.org/paper/142595e8e2b194cfcb17088ed6d93d4366f16984
UIUC,A. Vakakis,2041393,10 Most Recent,Super-slow Nonlinear Hysteresis Loop “Tracking” for Managing Energy Intake in the Forced Duffing Oscillator,https://www.semanticscholar.org/paper/627d06ba727afe64c1ab9950d933e066dea09726
UIUC,Amy Wagoner Johnson,2207707224,10 Most Cited,Coral larval settlement induction using tissue-associated and exuded coralline algae metabolites and the identification of putative chemical cues,https://www.semanticscholar.org/paper/55deb6397157c7c3f581009fd2de5970b55452b0
UIUC,Amy Wagoner Johnson,2207707224,10 Most Cited,Direct observation and quantitative characterization of chemotactic behaviors in Caribbean coral larvae exposed to organic and inorganic settlement cues,https://www.semanticscholar.org/paper/21f593de1103d0c60eaad5c8fa27e5298f19e742
UIUC,Amy Wagoner Johnson,2207707224,10 Most Cited,Poster: Rough Night,https://www.semanticscholar.org/paper/5df4d4c0b1893f804fb6aaa91ffc8909c3f9ce97
UIUC,Amy Wagoner Johnson,2207707224,10 Most Recent,Direct observation and quantitative characterization of chemotactic behaviors in Caribbean coral larvae exposed to organic and inorganic settlement cues,https://www.semanticscholar.org/paper/21f593de1103d0c60eaad5c8fa27e5298f19e742
UIUC,Amy Wagoner Johnson,2207707224,10 Most Recent,Coral larval settlement induction using tissue-associated and exuded coralline algae metabolites and the identification of putative chemical cues,https://www.semanticscholar.org/paper/55deb6397157c7c3f581009fd2de5970b55452b0
UIUC,Amy Wagoner Johnson,2207707224,10 Most Recent,Poster: Rough Night,https://www.semanticscholar.org/paper/5df4d4c0b1893f804fb6aaa91ffc8909c3f9ce97
UIUC,A. Jacobi,4332991,10 Most Cited,"Heat Transfer Model for Evaporation in Microchannels, Part I: Presentation of the Model",https://www.semanticscholar.org/paper/8c3a538318f1a19551ef76a5103d30afcd5b3a24
UIUC,A. Jacobi,4332991,10 Most Cited,Fluid Flow and Heat Transfer at Micro- and Meso-Scales With Application to Heat Exchanger Design,https://www.semanticscholar.org/paper/d583a24a88c60e3976cea96f02b3d26a77fa3e96
UIUC,A. Jacobi,4332991,10 Most Cited,Heat transfer surface enhancement through the use of longitudinal vortices: a review of recent progress,https://www.semanticscholar.org/paper/6e0a82877a18fcab609a5369d7daeab779c28e17
