Original_Name,Author_ID,Institution
A. Vakakis,2041393,UIUC
Amy Wagoner Johnson,2207707224,UIUC
A. Jacobi,4332991,UIUC
Blake Everett Johnson,143974551,UIUC
Brian S. Mercer,2622957,UIUC
Bumsoo Han,102497802,UIUC
C. Ricardo Constante-Amores,2129104656,UIUC
Callan Luetkemeyer,14179696,UIUC
Craig Bradshaw,2055798203,UIUC
Elif Ertekin,4810854,UIUC
Gaurav Bahl,2084009350,UIUC
Harley Johnson,2284238075,UIUC
Huseyin Sehitoglu,2255645861,UIUC
Iwona Jasiuk,46343924,UIUC
Janelle Wharry,92621606,UIUC
Jiajun He,49264206,UIUC
Jie Feng,119000628,UIUC
Jorge E. Correa,1397244204,UIUC
Joseph Bentsman,2185953,UIUC
Justin Yim,2347526636,UIUC
Kathryn H Matlack,39895612,UIUC
Ke Tang,1492059373,UIUC
Kellie M. Halloran,2160927405,UIUC
Kevin Wise,14689024,UIUC
Kevin E. Wandke,100590743,UIUC
Leonardo Chamorro,2251107035,UIUC
Lili Cai,9324142,UIUC
M Taher A. Saif,117970690,UIUC
M. Quinn Brewster,47258804,UIUC
Mariana E. Kersh,4648221,UIUC
Martin Ostoja-Starzewski,101521196,UIUC
Matthew West,2055933040,UIUC
Mattia Gazzola,2597297,UIUC
Mickey Clemon,2269346936,UIUC
naira hovakimyan,2130392,UIUC
Nenad Miljkovic,5089466,UIUC
Nick G. Glumac,4433619,UIUC
Nikhil Chandra Admal,10090573,UIUC
Paul Fischer,144884194,UIUC
Petros Sofronis,2073548074,UIUC
Placid Ferreira,2254990095,UIUC
Prashant Mehta,2112149782,UIUC
Randy H. Ewoldt,143620353,UIUC
Sameh Tawfick,4142554,UIUC
Sanjiv Sinha,2313107723,UIUC
Sascha Hilgenfeldt,3018257,UIUC
Seid Koric,2163125,UIUC
Shelby B. Hutchens,9831923,UIUC
Siyi Xu,2329883990,UIUC
Sophie Wang,2332074063,UIUC
Srinivasa Salapaka,1770735,UIUC
Tonghun Lee,32189698,UIUC
Bahador Bahmani,101566577,NU
Brenna Argall,1836885,NU
Cheng_Sun,40559422,NU
Elizabeth M Gerber,145003123,NU
Gianluca Cusatis,78316720,NU
Greg Wagner,2065041614,NU
Horacio Espinosa,2064439797,NU
J. Edward Colgate,47814061,NU
Jian Cao,92653344,NU
John A. Rogers,2113852298,NU
John Rudnicki,17695609,NU
Jose_Pons,145923053,NU
Julio M. Ottino,2556722,NU
Junsoo Kim,2320743011,NU
Kevin Lynch,2112385401,NU
Kornel Ehmann,153341215,NU
Malcolm A MacIver,39884769,NU
Manohar_Kulkarni,91408184,NU
Matthew J Major,6270873,NU
Michael Peshkin,1789986,NU
Michael Rubenstein,2096430371,NU
Mitra J. Hartmann,46851258,NU
Neelesh A. Patankar,1696499,NU
Ping_Guo,2075394456,NU
Q. Jane Wang,2246843354,NU
Richard M. Lueptow,2801487,NU
Ryan L. Truby,5791508,NU
Sandip Ghosal,2060356239,NU
Seth Lichter,40096875,NU
Sinan Keten,4886848,NU
Sridhar Krishnaswamy,2251803927,NU
Steven_Gard,2052671677,NU
"Tao Sun, T. Sun",134810878,NU
Todd D Murphey,2750574,NU
Wei Chen,2154939698,NU
Wing Kam Liu,1792101117,NU
Yip-Wah Chung,98106798,NU
